latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-15.38377,167.81741,299.25,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,255.93,1.19,N
-15.38673,167.83554,302.97,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,257.68,0.54,N
-15.38771,167.82048,320.14,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,254.45,13.96,N
-15.38712,167.81685,304.72,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,254.06,0.69,N
-15.39067,167.83859,295.97,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,257.3,2.08,N
-15.39106,167.81989,323.24,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,256.26,13.96,N
-15.38988,167.81264,295.44,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,254.53,0.69,N
-15.39047,167.81627,305.84,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,256.13,0.69,N
-15.39381,167.81569,304.42,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,254.28,0.87,N
-15.3944,167.81932,317.47,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,256.83,6.22,N
-15.39618,167.83018,314.15,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,257.7,3.59,N
-15.39677,167.83382,300.98,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,259.21,0.66,N
-15.39716,167.81511,298.99,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,255.09,0.87,N
-15.39775,167.81874,306.61,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,255.72,6.22,N
-15.39834,167.82237,317.8,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,256.32,6.22,N
-15.39893,167.82602,315.77,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,257.07,3.59,N
-15.39952,167.82964,305.53,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,257.14,3.59,N
-15.40012,167.83327,296.95,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,259.33,0.66,N
-15.4011,167.81818,297.24,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,254.89,0.69,N
-15.40169,167.82182,301.75,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,254.87,0.69,N
-15.40228,167.82545,300.31,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,256.76,0.68,N
-15.40287,167.82909,296.79,0.39,0.36,2026-04-30,1408,N,nominal,2.0NRT,257.31,0.68,N
-19.52618,169.44978,308.37,0.4,0.37,2026-04-30,1410,N,nominal,2.0NRT,289.51,0.74,N
-19.52901,169.44528,330.43,0.4,0.37,2026-04-30,1410,N,nominal,2.0NRT,294.05,9.01,N
-19.52958,169.44913,332.58,0.4,0.37,2026-04-30,1410,N,nominal,2.0NRT,291.4,2.74,N
-19.53299,169.44858,301.81,0.4,0.37,2026-04-30,1410,N,nominal,2.0NRT,288.31,2.74,N
-22.25425,166.44424,309.39,0.39,0.36,2026-04-30,1410,N,nominal,2.0NRT,293.22,0.75,N
-23.55456,151.06502,300.32,0.78,0.78,2026-04-30,1412,N,nominal,2.0NRT,286.57,1.28,N
-23.63348,151.15947,300.47,0.77,0.77,2026-04-30,1412,N,nominal,2.0NRT,286.22,0.82,N
-23.55569,151.06844,300.36,0.78,0.78,2026-04-30,1412,N,nominal,2.0NRT,286.74,0.99,N
-23.61329,151.10986,302.97,0.78,0.78,2026-04-30,1412,N,nominal,2.0NRT,286.5,2.23,N
-23.64584,151.11629,302.52,0.77,0.78,2026-04-30,1412,N,nominal,2.0NRT,286.5,1.13,N
-23.82531,151.15039,301.75,0.76,0.77,2026-04-30,1412,N,nominal,2.0NRT,288.21,1.51,N
-23.82503,151.14511,301.62,0.76,0.77,2026-04-30,1412,N,nominal,2.0NRT,288.55,1.98,N
-24.83406,151.87308,300.71,0.66,0.73,2026-04-30,1412,N,nominal,2.0NRT,285.86,2.46,N
-24.83575,151.8795,312.93,0.66,0.73,2026-04-30,1412,N,nominal,2.0NRT,286.5,2.16,N
-31.4809,146.67006,296.47,0.47,0.48,2026-04-30,1554,N,nominal,2.0NRT,285.93,1.05,N
-30.44496,136.85603,310.81,0.43,0.38,2026-04-30,1554,N,nominal,2.0NRT,288.42,1.14,N
-30.44576,136.86049,305.04,0.43,0.38,2026-04-30,1554,N,nominal,2.0NRT,290.5,1.14,N
-32.24384,150.84404,297.45,0.42,0.61,2026-04-30,1554,N,nominal,2.0NRT,286.54,0.56,N
-32.08523,146.95709,298.8,0.5,0.49,2026-04-30,1554,N,nominal,2.0NRT,285.37,2.22,N
-32.08544,146.96169,305.06,0.5,0.49,2026-04-30,1554,N,nominal,2.0NRT,285.22,0.84,N
-32.21547,148.11964,299.39,0.58,0.52,2026-04-30,1554,N,nominal,2.0NRT,285.12,0.81,N
-32.47314,151.0744,295.73,0.43,0.62,2026-04-30,1554,N,nominal,2.0NRT,282.18,0.41,N
-32.27098,142.31819,297.68,0.44,0.39,2026-04-30,1554,N,nominal,2.0NRT,285.69,0.75,N
-33.68285,146.55457,300.56,0.49,0.49,2026-04-30,1554,N,nominal,2.0NRT,275.58,2,N
-34.21097,150.97185,312.85,0.44,0.62,2026-04-30,1554,N,nominal,2.0NRT,284.04,1.14,N
-34.02311,146.16035,296.42,0.47,0.48,2026-04-30,1554,N,nominal,2.0NRT,275.7,1.6,N
-11.86983,142.02055,320.35,0.42,0.38,2026-04-30,1548,N,nominal,2.0NRT,292.39,2.32,N
-34.02757,146.15973,295.72,0.47,0.48,2026-04-30,1554,N,nominal,2.0NRT,273.36,1.06,N
-11.86918,142.01668,317.79,0.42,0.38,2026-04-30,1548,N,nominal,2.0NRT,292.02,1.56,N
-34.02464,146.15923,295.25,0.47,0.48,2026-04-30,1554,N,nominal,2.0NRT,272.84,0.8,N
-11.87329,142.01994,332.17,0.42,0.38,2026-04-30,1548,N,nominal,2.0NRT,291.92,2.32,N
-34.02911,146.1586,297.4,0.47,0.48,2026-04-30,1554,N,nominal,2.0NRT,275.7,0.8,N
-11.87265,142.01607,311.78,0.42,0.38,2026-04-30,1548,N,nominal,2.0NRT,292.15,1.56,N
-33.66515,142.63205,306.75,0.47,0.4,2026-04-30,1554,N,nominal,2.0NRT,285.83,0.86,N
-11.48677,130.52611,304.63,0.71,0.75,2026-04-30,1550,N,nominal,2.0NRT,285.59,1.79,N
-33.66884,142.63138,338.9,0.47,0.4,2026-04-30,1554,N,nominal,2.0NRT,287.52,3.75,N
-11.49146,130.52654,303.35,0.71,0.75,2026-04-30,1550,N,nominal,2.0NRT,285.9,0.25,N
-33.67252,142.63071,325.06,0.47,0.4,2026-04-30,1554,N,nominal,2.0NRT,286.41,3.75,N
-14.07839,131.85553,301.72,0.52,0.67,2026-04-30,1550,N,nominal,2.0NRT,287.18,0.91,N
-33.6762,142.63005,300.92,0.47,0.4,2026-04-30,1554,N,nominal,2.0NRT,285.82,0.79,N
-18.15467,144.71317,299.84,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,288.34,0.62,N
-34.45558,150.87497,308.88,0.44,0.62,2026-04-30,1554,N,nominal,2.0NRT,287.09,2.12,N
-18.15753,144.70871,321.74,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.84,2.5,N
-34.46175,150.87944,312.21,0.44,0.62,2026-04-30,1554,N,nominal,2.0NRT,286.97,1.86,N
-18.15811,144.7126,313,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,288.95,0.62,N
-34.46203,150.88441,305.51,0.44,0.62,2026-04-30,1554,N,nominal,2.0NRT,286.97,1.86,N
-18.15924,144.69646,320.01,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.65,2.32,N
-34.28546,147.83206,298.8,0.59,0.53,2026-04-30,1554,N,nominal,2.0NRT,280.1,0.5,N
-18.15982,144.70035,321.49,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.67,2.32,N
-33.71801,142.45584,323.51,0.46,0.39,2026-04-30,1554,N,nominal,2.0NRT,287.95,2.62,N
-18.16039,144.70424,325.52,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.2,1.45,N
-32.99554,137.58585,313.8,0.39,0.36,2026-04-30,1554,N,nominal,2.0NRT,285.82,1.49,N
-18.15867,144.69255,313.92,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.76,1.22,N
-33.72167,142.45517,311.31,0.46,0.39,2026-04-30,1554,N,nominal,2.0NRT,287.75,1.4,N
-18.16097,144.70813,307.26,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,288.69,1.45,N
-33.16815,138.0119,303.64,0.39,0.36,2026-04-30,1554,N,nominal,2.0NRT,285.11,0.74,N
-18.15923,144.67259,338.44,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,290.5,3.68,N
-34.95344,150.65521,306.06,0.43,0.62,2026-04-30,1554,N,nominal,2.0NRT,284.79,0.99,N
-18.15981,144.67647,338.27,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,290.67,3.68,N
-34.9537,150.65999,298.1,0.43,0.62,2026-04-30,1554,N,nominal,2.0NRT,285.7,0.99,N
-18.16038,144.68034,335.24,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,290.16,3.04,N
-34.84006,148.56779,334.89,0.33,0.55,2026-04-30,1554,N,nominal,2.0NRT,282.41,2.82,N
-18.16096,144.68423,327.27,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.58,3.04,N
-34.07188,141.00052,302.3,0.42,0.37,2026-04-30,1554,N,nominal,2.0NRT,286.6,1.19,N
-18.15866,144.6687,311.33,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.24,1.61,N
-34.07251,141.00301,305.66,0.42,0.37,2026-04-30,1554,N,nominal,2.0NRT,286.47,0.8,N
-18.16153,144.68813,317.14,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,289.58,1.22,N
-35.05321,146.93721,296.91,0.53,0.5,2026-04-30,1554,N,nominal,2.0NRT,277.93,0.53,N
-18.16211,144.692,304.87,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,288.39,1.22,N
-35.1173,147.23889,295.43,0.56,0.51,2026-04-30,1554,N,nominal,2.0NRT,279.01,0.63,N
-15.41933,129.66603,302.32,0.68,0.74,2026-04-30,1550,N,nominal,2.0NRT,290.73,0.75,N
-35.76914,147.80385,298.1,0.61,0.53,2026-04-30,1556,N,nominal,2.0NRT,284.33,1.81,N
-15.39251,129.7084,303.61,0.67,0.74,2026-04-30,1550,N,nominal,2.0NRT,290.5,2.09,N
-35.76865,147.80441,296.69,0.61,0.53,2026-04-30,1556,N,nominal,2.0NRT,283.87,2.49,N
-15.41906,129.66753,302.8,0.68,0.74,2026-04-30,1550,N,nominal,2.0NRT,290.27,1.47,N
-35.77691,146.6395,300.34,0.52,0.5,2026-04-30,1556,N,nominal,2.0NRT,270.4,1,N
-15.49349,129.48499,302.84,0.69,0.74,2026-04-30,1550,N,nominal,2.0NRT,290.42,0.83,N
-35.77792,146.63928,304.39,0.52,0.5,2026-04-30,1556,N,nominal,2.0NRT,272.38,1.45,N
-15.49321,129.48842,303.67,0.69,0.74,2026-04-30,1550,N,nominal,2.0NRT,289.73,1.34,N
-34.83121,138.50136,298.3,0.38,0.36,2026-04-30,1556,N,nominal,2.0NRT,282.82,0.45,N
-15.51511,129.48915,301.84,0.69,0.74,2026-04-30,1550,N,nominal,2.0NRT,290.2,0.56,N
-34.96165,138.73161,297.52,0.39,0.36,2026-04-30,1556,N,nominal,2.0NRT,285.17,0.38,N
-15.80981,129.01402,302.62,0.73,0.76,2026-04-30,1550,N,nominal,2.0NRT,290.7,1.19,N
-35.90602,145.98672,295.02,0.48,0.48,2026-04-30,1556,N,nominal,2.0NRT,280.98,0.28,N
-15.78424,128.65921,302.78,0.77,0.77,2026-04-30,1550,N,nominal,2.0NRT,290.84,3.43,N
-36.12308,148.5112,318.44,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,269.95,1.22,N
-15.78596,128.66096,302.8,0.77,0.77,2026-04-30,1550,N,nominal,2.0NRT,290.57,2.39,N
-36.12859,148.51451,305.4,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,271.36,1.2,N
