latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.31789,126.73982,326.54,1.02,1.01,2026-04-29,0013,T,81,6.1NRT,300.67,20.07,D
-17.56028,127.77657,361.97,1,1,2026-04-29,0013,T,100,6.1NRT,303.26,86.83,D
-17.56159,127.78578,335.94,1,1,2026-04-29,0013,T,88,6.1NRT,300.34,32.21,D
-17.56291,127.79501,311.04,1,1,2026-04-29,0013,T,51,6.1NRT,298.17,5.37,D
-17.56913,127.77523,338.44,1,1,2026-04-29,0013,T,90,6.1NRT,299.87,36.03,D
-17.57045,127.78445,327.41,1,1,2026-04-29,0013,T,82,6.1NRT,300.18,20.63,D
-17.57176,127.79367,309.91,1,1,2026-04-29,0013,T,31,6.1NRT,298.28,4.14,D
-17.99378,130.13423,315.85,1.18,1.08,2026-04-29,0013,T,70,6.1NRT,298.67,11.56,D
-17.3491,125.29881,312.8,1.15,1.07,2026-04-29,0013,T,54,6.1NRT,300.66,6.44,D
-17.90422,127.79417,323.79,1,1,2026-04-29,0013,T,79,6.1NRT,299.26,16.38,D
-17.90553,127.80342,323.1,1,1,2026-04-29,0013,T,78,6.1NRT,298.8,15.41,D
-18.06909,127.78504,318.87,1,1,2026-04-29,0013,T,71,6.1NRT,300.63,10.46,D
-19.0897,134.23792,311.65,2.34,1.48,2026-04-29,0013,T,45,6.1NRT,299,19.33,D
-19.08427,134.06404,316.36,2.27,1.46,2026-04-29,0013,T,71,6.1NRT,297.4,32.91,D
-19.10283,134.23645,311.91,2.34,1.48,2026-04-29,0013,T,59,6.1NRT,297.86,20.47,D
-19.10553,134.01912,310.39,2.25,1.45,2026-04-29,0013,T,21,6.1NRT,297.15,16.09,D
-19.0827,134.0575,318.09,2.27,1.46,2026-04-29,0013,T,73,6.1NRT,297.34,36.34,D
-19.09996,134.22995,313.64,2.34,1.48,2026-04-29,0013,T,58,6.1NRT,298.15,24.68,D
-18.00443,123.99157,314.73,1.33,1.14,2026-04-29,0013,T,68,6.1NRT,300.43,11.94,D
-18.00639,124.00381,323.43,1.32,1.14,2026-04-29,0013,T,79,6.1NRT,301.34,23.98,D
-18.25975,125.02923,312.32,1.15,1.07,2026-04-29,0013,T,54,6.1NRT,298.09,8.08,D
-18.3397,125.0747,315.29,1.15,1.07,2026-04-29,0013,T,36,6.1NRT,300.48,9.19,D
-18.31792,124.74596,320.82,1.19,1.09,2026-04-29,0013,T,76,6.1NRT,301.72,15.14,D
-18.32921,124.75535,314.73,1.19,1.08,2026-04-29,0013,T,28,6.1NRT,300.15,7.79,D
-20.39966,135.38821,331.42,2.99,1.64,2026-04-29,0013,T,85,6.1NRT,298.81,125.06,D
-20.40239,135.41634,323.55,3,1.65,2026-04-29,0013,T,78,6.1NRT,298.49,79.33,D
-20.41427,135.3867,323.62,2.99,1.64,2026-04-29,0013,T,79,6.1NRT,295.77,81.49,D
-20.41702,135.41476,316.45,3,1.65,2026-04-29,0013,T,70,6.1NRT,295.84,47.24,D
-20.40094,135.38266,333.6,2.99,1.64,2026-04-29,0013,T,87,6.1NRT,298.28,143.85,D
-20.40346,135.41075,332.44,3,1.65,2026-04-29,0013,T,86,6.1NRT,299.09,136.91,D
-20.41554,135.3811,307.73,2.99,1.64,2026-04-29,0013,T,47,6.1NRT,295.26,19.58,D
-20.4181,135.40918,308.93,3,1.65,2026-04-29,0013,T,54,6.1NRT,295.76,23.41,D
-19.30304,121.64246,310.7,1.82,1.32,2026-04-29,0013,T,39,6.1NRT,299.34,10.23,D
-19.29844,121.6373,310.86,1.82,1.32,2026-04-29,0013,T,50,6.1NRT,299.73,11.36,D
-19.31009,121.63509,311.84,1.82,1.32,2026-04-29,0013,T,59,6.1NRT,300.04,13.4,D
-19.99135,120.2841,311.59,2.23,1.45,2026-04-29,0013,T,37,6.1NRT,298.39,16.38,D
-19.99501,120.30474,315.22,2.22,1.44,2026-04-29,0013,T,63,6.1NRT,299.36,24.3,D
-19.99425,120.29904,318.68,2.22,1.44,2026-04-29,0013,T,73,6.1NRT,299.21,36.13,D
-20.03239,120.2916,321.22,2.22,1.44,2026-04-29,0013,T,45,6.1NRT,299.49,37.38,D
-20.04661,120.22412,349.67,2.24,1.45,2026-04-29,0013,T,95,6.1NRT,299.63,181.65,D
-20.05035,120.24493,442.82,2.23,1.45,2026-04-29,0013,T,100,6.1NRT,318.53,1988.32,D
-20.05408,120.26572,386.43,2.23,1.45,2026-04-29,0013,T,100,6.1NRT,306.81,552.67,D
-20.0578,120.2865,341.39,2.22,1.44,2026-04-29,0013,T,90,6.1NRT,301.08,115.09,D
-20.07583,120.23976,378.34,2.23,1.45,2026-04-29,0013,T,100,6.1NRT,302.69,455.81,D
-20.07952,120.26056,354.64,2.23,1.45,2026-04-29,0013,T,97,6.1NRT,303.28,210.17,D
-20.04913,120.2382,418.55,2.23,1.45,2026-04-29,0013,T,100,6.1NRT,314.25,1217.54,D
-20.053,120.25893,399.08,2.23,1.45,2026-04-29,0013,T,100,6.1NRT,310.69,766.83,D
-20.05687,120.27967,353.24,2.22,1.44,2026-04-29,0013,T,97,6.1NRT,302.61,191.1,D
-20.07461,120.23306,358.91,2.23,1.45,2026-04-29,0013,T,99,6.1NRT,299.46,254.46,D
-20.07845,120.25384,368.85,2.23,1.45,2026-04-29,0013,T,100,6.1NRT,304.78,341.36,D
-20.08227,120.27453,327.89,2.22,1.44,2026-04-29,0013,T,74,6.1NRT,300.65,60.43,D
-43.62863,172.12503,315.91,1.28,1.12,2026-04-29,0406,A,76,6.1NRT,288.67,22.25,D
-11.87101,142.00572,322.32,1.05,1.02,2026-04-29,0555,A,78,6.1NRT,296.38,17.23,D
-29.24537,149.30229,320.49,1.07,1.03,2026-04-29,0550,A,76,6.1NRT,297.84,14.31,D
-29.24709,149.29158,322.4,1.07,1.03,2026-04-29,0550,A,79,6.1NRT,300.61,16.02,D
-28.6716,150.46417,321.25,1.21,1.1,2026-04-29,0550,A,80,6.1NRT,297.42,21.55,D
-28.79198,148.42665,313.19,1.02,1.01,2026-04-29,0550,A,54,6.1NRT,297.76,6.49,D
-28.79357,148.41644,316.66,1.02,1.01,2026-04-29,0550,A,71,6.1NRT,301.35,9.42,D
-27.34675,151.58995,309.26,1.48,1.2,2026-04-29,0550,A,62,6.1NRT,295.4,10.3,D
-25.29318,149.1163,311.43,1.16,1.07,2026-04-29,0553,A,65,6.1NRT,294.56,10.65,D
-23.61625,151.08386,323.9,1.62,1.25,2026-04-29,0553,A,73,6.1NRT,294.18,33.5,D
-23.58343,151.07674,318.06,1.62,1.25,2026-04-29,0553,A,62,6.1NRT,294.76,23.43,D
-23.56432,151.05672,327.97,1.62,1.25,2026-04-29,0553,A,79,6.1NRT,295.53,44.17,D
-23.64218,149.32147,309.96,1.25,1.11,2026-04-29,0553,A,45,6.1NRT,299.31,6.17,D
-22.92493,146.29724,314.26,1,1,2026-04-29,0553,A,67,6.1NRT,298.84,8.39,D
-22.90713,146.27769,309.02,1,1,2026-04-29,0553,A,51,6.1NRT,298.5,4.95,D
-22.85601,146.31755,308.69,1,1,2026-04-29,0553,A,16,6.1NRT,298.24,3.89,D
-22.85744,146.30801,320.82,1,1,2026-04-29,0553,A,76,6.1NRT,298.8,14.04,D
-21.44554,148.67026,317.55,1.24,1.11,2026-04-29,0553,A,61,6.1NRT,294.17,15.41,D
-21.27341,148.50903,306.01,1.23,1.1,2026-04-29,0553,A,29,6.1NRT,291.83,7.3,D
-19.90877,144.11038,312.08,1.03,1.01,2026-04-29,0553,A,31,6.1NRT,291.57,7.52,D
-19.91013,144.10081,310.86,1.03,1.01,2026-04-29,0553,A,51,6.1NRT,291.11,7.44,D
-19.85694,144.21919,316.57,1.02,1.01,2026-04-29,0553,A,64,6.1NRT,296.29,11.88,D
-19.86639,144.15248,315.38,1.03,1.01,2026-04-29,0553,A,29,6.1NRT,290.23,8.69,D
-19.84726,144.15919,331.6,1.03,1.01,2026-04-29,0553,A,73,6.1NRT,296.02,26.95,D
-19.83299,144.19594,321.12,1.02,1.01,2026-04-29,0553,A,78,6.1NRT,295.12,15.18,D
-19.83433,144.18642,339.35,1.02,1.01,2026-04-29,0553,A,91,6.1NRT,297.25,39.46,D
-19.81122,144.22157,315.62,1.02,1.01,2026-04-29,0553,A,70,6.1NRT,291.89,11.58,D
