Sector,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Energy,MtCO2e,288.71,292.08,296.92,302.55,308.90,321.12,331.90,341.80,363.50,370.12,378.81,388.04,396.36,396.06,410.34,415.62,421.55,434.88,438.43,445.57,454.21,449.75,453.09,450.96,447.40,454.96,461.08,460.57,457.87,455.97,437.72,422.65,414.22,416.29
Industrial Processes,MtCO2e,11.61,11.35,10.90,10.71,8.46,7.64,6.74,6.52,7.48,7.30,7.91,8.77,9.01,9.62,10.24,10.99,10.52,11.17,11.56,12.33,12.58,13.36,13.70,13.66,14.28,14.91,15.22,15.52,15.48,16.48,16.46,17.20,17.78,18.35
Agriculture,MtCO2e,179.38,177.99,173.67,171.25,173.87,169.36,160.14,159.63,165.97,197.49,214.88,233.07,218.88,140.68,183.55,141.66,178.06,169.05,135.77,143.40,118.77,220.98,221.32,141.56,163.47,154.68,122.60,165.76,163.52,130.76,108.89,128.13,132.22,214.60
Waste,MtCO2e,19.51,19.53,19.39,19.37,18.74,18.91,17.36,17.26,16.51,16.68,16.50,16.59,16.84,15.83,15.39,15.24,14.97,15.21,15.74,15.73,16.11,15.67,14.34,13.53,13.57,13.14,13.47,13.83,13.69,13.53,13.20,13.30,13.42,13.56
"Land Use, Land-Use Change and Forestry",MtCO2e,51.97,51.97,51.97,51.97,51.96,52.01,54.48,57.69,55.57,58.21,51.62,64.08,65.58,68.19,61.85,61.76,66.85,63.22,61.46,64.44,61.58,-20.56,-19.87,-18.83,-19.63,-20.45,-15.96,-16.61,-15.79,2.12,-6.82,-11.23,-11.22,-10.65
Data source,Climate Watch
Data for,Location: Australia. Sectors/Subsectors: Total including LULUCF. Gases: All GHG. Calculation: Total. Show data by Sectors
